date,pnl,daily_pnl,state,acct_pnl,actual_balance,bankroll,pa_days,pa_wins,payout_num,eval_days,tag
2016-12-01,-420,0,resetting,0.0,0.0,-585,0,0,0,0,eval_failed_trailing_dd
2016-12-05,704,704,eval,704.0,704.0,-585,0,0,0,4,eval_trade
2016-12-06,704,704,eval,1408.0,1408.0,-585,0,0,0,5,eval_trade
2016-12-07,704,704,pa,0.0,25000.0,-690,0,0,0,0,passed_eval
2016-12-08,704,704,pa,704.0,25704.0,-690,1,1,0,0,pa_trade
2016-12-15,-420,-420,pa,284.0,25284.0,-690,2,1,0,0,pa_trade
2016-12-20,-420,-420,pa,-136.0,24864.0,-690,3,1,0,0,pa_trade
2016-12-27,-420,-420,pa,-556.0,24444.0,-690,4,1,0,0,pa_trade
2016-12-28,704,704,pa,148.0,25148.0,-690,5,2,0,0,pa_trade
2017-01-03,704,704,pa,852.0,25852.0,-690,6,3,0,0,pa_trade
2017-01-12,704,704,pa,1556.0,26556.0,-690,7,4,0,0,pa_trade
2017-01-19,-420,-420,pa,1136.0,26136.0,-690,8,4,0,0,pa_trade
2017-01-30,-420,-420,pa,716.0,25716.0,-690,9,4,0,0,pa_trade
2017-02-01,-420,-420,pa,296.0,25296.0,-690,10,4,0,0,pa_trade
2017-02-07,704,704,pa,1000.0,26000.0,-690,11,5,0,0,pa_trade
2017-02-09,704,704,pa,1100.0,26100.0,-86,0,0,1,0,payout_1_$604
2017-02-21,-420,-420,pa,680.0,25680.0,-86,1,0,1,0,pa_trade
2017-02-23,-420,-420,pa,260.0,25260.0,-86,2,0,1,0,pa_trade
2017-02-28,704,704,pa,964.0,25964.0,-86,3,1,1,0,pa_trade
2017-03-02,-420,-420,pa,544.0,25544.0,-86,4,1,1,0,pa_trade
2017-03-06,704,704,pa,1248.0,26248.0,-86,5,2,1,0,pa_trade
2017-03-07,-420,-420,pa,828.0,25828.0,-86,6,2,1,0,pa_trade
2017-03-09,704,704,pa,1532.0,26532.0,-86,7,3,1,0,pa_trade
